Designator,Footprint,Quantity,Value,LCSC Part #,Manufacturer,Manufacturer Part Number
"C1, C3, C5",CAPC0201(0603)33_L,3,0.1uF 0201,,Murata,GRM033R61A104KE15D
"C2, C4, C6, C18, C21, C22, C24, C25","CAPC0402(1005)70_L, CAPC0402(1005)70_N",8,10uF 0402,,Murata,GRM155R60J106ME15D
C19,CAPC0603(1608)100_L,1,22uF 0603,,Murata,GRM188R61A226ME15D
"D1, D2, D3",TPD4E02B04DQAR,3,TPD4E02B04DQAR,,Texas Instruments,TPD4E02B04DQAR
F1,,1,26pin 0.5mm same-side,,Molex,0151660281
"FB1, FB2, FB3",2508056017Y2,3,600R/100MHz,,Fair-Rite,2508056017Y2
J1,F32R-1A7H1-11026,1,"FLEX CONNECTOR, 0.50MM PITCH, HE",,Amphenol ICC (FCI),F32R-1A7H1-11026
J2,AC-PY003-OV9282,1,AC_PY003-OV9282_CON,,Hirose,FH26W-33S-0.3SHW(60)
L1,DFE252012P-1R0M=P2,1,"1uH, 3.2A, 20%",,Murata,DFE252012P-1R0M=P2
"R1, R3, R8",RESC0402(1005)_L,3,10K 0402,,Yageo,RC0402FR-1310KL
R2,RESC0402(1005)_L,1,53.6k 0402,,Vishay,CRCW040253K6FKED
R5,RESC0603(1608)_L,1,0R 0603,,Vishay,CRCW0603-0000Z0EA
R6,RESC0402(1005)_L,1,33K 0402,,Vishay,CRCW040233K0FKED
R7,RESC0402(1005)_L,1,40.2K 0402,,Yageo,RC0402FR-0740K2L
U1,TLV62080DSG,1,TLV62080DSG,,Texas Instruments,TLV62080DSGR
U2,TLV70018DCK,1,TLV70018DCK,,Texas Instruments,TLV70018DCKR
U3,TLV70028DCK,1,TLV70028DCK,,Texas Instruments,TLV70028DCKT
